Index,Part1,Part2,Part3,Part4,Formatted Question,Question Type_new,All_Correct_Answers,Option 1,Option 2,Option 3,Option 4,Option 5
163,गुरुत्व,कर्ष,चुम्बकत्व,आकर्षण,गुरुत्व : कर्ष :: चुम्बकत्व : ?,1,आकर्षण,पृथ्वी,स्वर्ण,आकर्षण,भार,
164,सिर,हैट,अंगुली,अंगूठी,सिर : हैट :: अंगुली : ?,1,अंगूठी,दस्ताना,जुराब,कड़ा,अंगूठी,
165,मुख,अभिव्यक्ति,संगीत,धुन,मुख : अभिव्यक्ति :: संगीत : ?,1,धुन,ध्वनि,कर्ण,धुन,यन्त्र,
166,दिवस,रात्रि,गोधूलिवेला,ऊषाकाल,दिवस : रात्रि :: गोधूलिवेला : ?,1,ऊषाकाल,प्रात:काल,मध्याह्न,सायंकाल,ऊषाकाल,
167,चौड़ा,संकीर्ण,पैना,धारहीन,चौड़ा : संकीर्ण :: पैना : ?,1,धारहीन,धारहीन,नुकीला,चाकू,खुरदरा,
168,स्वरसमता,संगीतकार,पुस्तक,लेखक,स्वरसमता : संगीतकार :: पुस्तक : ?,1,लेखक,प्रकाशक,लेखक,मुद्रक,प्रायोजक,
169,पक्षी,पक्षी वैज्ञानिक,कीट,कीट वैज्ञानिक,पक्षी : पक्षी वैज्ञानिक :: कीट : ?,1,कीट वैज्ञानिक,पशु वैज्ञानिक,जीव वैज्ञानिक,कीट वैज्ञानिक,मुद्रा वैज्ञानिक,
170,गड़बड़,दोष,प्रवेशक,मार्गदर्शक,गड़बड़ : दोष :: प्रवेशक : ?,1,मार्गदर्शक,भीड़भाड़,मौन,शान्ति,मार्गदर्शक,
171,कीड़ा,रोग,युद्ध,विनाश,कीड़ा : रोग :: युद्ध : ?,1,विनाश,सेना,पराजय,शस्त्रागार,विनाश,
172,बाँसुरी वादक,बाँसुरी,सेलोवादक,वायलनसेला,बाँसुरी वादक : बाँसुरी :: सेलोवादक : ?,1,वायलनसेला,वायलिन,ड्रम्स,मँजीरा,वायलनसेला,
173,प्रतिरोध,ओम,विद्युतधारा,एम्पियर,प्रतिरोध : ओम :: विद्युतधारा : ?,1,एम्पियर,फैराडे,रेडियन,एम्पियर,वोल्ट,
174,सुवास,सुगन्ध,शहद,मिठास,सुवास : सुगन्ध :: शहद : ?,1,मिठास,तरल,मिठास,भूरा,क्रिस्टल,
175,प्रफुल्लित,रुखा,बहादुर,कायर,प्रफुल्लित : रुखा :: बहादुर : ?,1,कायर,ऊटपटांग,आदर्श,सुस्त,कायर,
176,सिर,बाल,हाथ,उँगली,सिर : बाल :: हाथ : ?,1,उँगली,उँगली,कान,गर्दन,घुटना,
177,सविनय,विनम्र,निराश्रित,गरीब,सविनय : विनम्र :: निराश्रित : ?,1,गरीब,समृद्ध,पर्याप्त,धनी,गरीब,
178,चलना,दौड़ना,पवन,तूफान,चलना : दौड़ना :: पवन : ?,1,तूफान,मौसम,वायु,वर्षा,तूफान,
179,लखनऊ,उत्तर प्रदेश,राँची,झारखण्ड,लखनऊ : उत्तर प्रदेश :: राँची : ?,1,झारखण्ड,ओडिशा,झारखण्ड,उत्तराखण्ड,छत्तीसगढ़,
180,चित्र,देखना,पुस्तक,पढ़ना,चित्र : देखना :: पुस्तक : ?,1,पढ़ना,खरीदना,पढ़ना,सुनना,पुस्तकालय,
181,दयालु,परोपकारी,दु:खी,विलापी,दयालु : परोपकारी :: दु:खी : ?,1,विलापी,क्रोध,सत्य,विलापी,प्रसन्नता,
182,तैरना,नदी,चढ़ना,पर्वत,तैरना : नदी :: चढ़ना : ?,1,पर्वत,सड़क,तालाब,पर्वत,समुद्र,
183,शेर,मांद,खरगोश,बिल,शेर : मांद :: खरगोश : ?,1,बिल,छेद,गड्ढ़ा,बिल,खेत,
184,गन्ध,फूल,स्वाद,भोजन,गन्ध : फूल :: स्वाद : ?,1,भोजन,जल,नमक,भोजन,मीठा,
185,वर्षामापी,वर्षा,सिस्मोग्राफ,भूकम्प,वर्षामापी : वर्षा :: सिस्मोग्राफ : ?,1,भूकम्प,तापक्रम,प्रवाह धारा,भूकम्प,आर्द्रता,
186,धुआँ,प्रदूषण,युद्ध,विनाश,धुआँ : प्रदूषण :: युद्ध : ?,1,विनाश,शान्ति,विजय,समझौता,विनाश,
187,शिक्षक,स्कूल,नर्स,अस्पताल,शिक्षक : स्कूल :: नर्स : ?,1,अस्पताल,डॉक्टर,रोगी,दवाई,अस्पताल,
188,चर्मकार,चमड़ा,बढ़ई,फर्नीचर,चर्मकार : चमड़ा :: बढ़ई : ?,1,फर्नीचर,फर्नीचर,लकड़ी,हथौड़ी,कुर्सी,
189,खिड़की,बढ़ई,मूर्ति,मूर्तिकार,खिड़की : बढ़ई :: मूर्ति : ?,1,मूर्तिकार,मूर्तिकार,मिस्त्री,लुहार,सुनार,
190,हाथ,कलाई,पैर,टखना,हाथ : कलाई :: पैर : ?,1,टखना,लम्बाई,जूता,टखना,टाँग,
191,दिल,कार्डियोलॉजिस्ट,हड्डी,ऑर्थोपोडिस्ट,दिल : कार्डियोलॉजिस्ट :: हड्डी : ?,1,ऑर्थोपोडिस्ट,डर्मेटोलॉजिस्ट,ऑर्थोकेयर,ऑर्थोपोडिस्ट,ओथडोटिस,
192,पौधा,बीज,फूल,कली,पौधा : बीज :: फूल : ?,1,कली,पत्ता,टहनी,कली,फल,
193,बर्फ,शीतलता,पृथ्वी,गुरुत्वाकर्षण,बर्फ : शीतलता :: पृथ्वी : ?,1,गुरुत्वाकर्षण,वजन,जंगल,गुरुत्वाकर्षण,समुद्र,
194,मैगजीन,सम्पादक,नाटक,निर्देशक,मैगजीन : सम्पादक :: नाटक : ?,1,निर्देशक,निर्देशक,खिलाड़ी,मैनेजर,अभिनेता,
195,वीडियो प्लेयर,कैसेट,कम्प्यूटर,फ्लॉपी,वीडियो प्लेयर : कैसेट :: कम्प्यूटर : ?,1,फ्लॉपी,रील,रिकॉर्डिंग,फाइल,फ्लॉपी,
196,महाराष्ट्र,भारत,टेक्सास,यूएसए,महाराष्ट्र : भारत :: टेक्सास : ?,1,यूएसए,कनाडा,मैक्सिको,ब्राजील,यूएसए,
197,बुलबुल,बार्बल,मेंढक,क्रॉक,बुलबुल : बार्बल :: मेंढक : ?,1,क्रॉक,येल्प,क्रॉक,क्रेकल,स्क्यूइक,
198,मतली,उबकाई,जलना,झुलसना,मतली : उबकाई :: जलना : ?,1,झुलसना,ताजा,झुलसना,समझदार,गीला,
199,रेशमकीट,रेशम,नाग,विष,रेशमकीट : रेशम :: नाग : ?,1,विष,विषहर,विष,मृत्यु,भय,
200,हृदय,कार्डियोलॉजिस्ट,वृक्क,नेफ्रोलॉजिस्ट,हृदय : कार्डियोलॉजिस्ट :: वृक्क : ?,1,नेफ्रोलॉजिस्ट,अन्त:स्राव विज्ञानी,ऑर्थोडाण्टिस्ट,नेफ्रोलॉजिस्ट,तन्त्रिका विज्ञानी,
201,कीटाणु,बीमारी,जंग,तबाही,कीटाणु : बीमारी :: जंग : ?,1,तबाही,फौज,हार,हथियार,तबाही,
202,वृत्त,चाप,वर्ग,रेखा,वृत्त : चाप :: वर्ग : ?,1,रेखा,रेखा,त्रिभुज,गोला,आयत,
203,भारत,रुपया,यू.के.,पाउण्ड,भारत : रुपया :: यू.के. : ?,1,पाउण्ड,पाउण्ड,दीनार,येन,लीरा,
204,शरीर,कंकाल,भाषा,व्याकरण,शरीर : कंकाल :: भाषा : ?,1,व्याकरण,व्याकरण,अर्थ,विद्यालय,शिक्षक,
205,संयत,तीव्र,नाममात्र,बहुमूल्य,संयत : तीव्र :: नाममात्र : ?,1,बहुमूल्य,स्मारक,बहुमूल्य,दूरी,अव्यवस्था,
206,गैराज,मोटरकार,वायुयान,हैंगर,गैराज : मोटरकार :: वायुयान : ?,1,हैंगर,अड्डा,वर्कशॉप,हैंगर,गोदी,
207,रवीन्द्रनाथ टैगोर,गीतांजलि,मैक्सिम गोर्की,मदर,रवीन्द्रनाथ टैगोर : गीतांजलि :: मैक्सिम गोर्की : ?,1,मदर,मिडनाइट चिल्ड्रन,मदर,परिणीता,क्राइम एंड पनिशमेंट,
208,समाचार-पत्र,पाठक,रोटी,उपभोक्ता,समाचार-पत्र : पाठक :: रोटी : ?,1,उपभोक्ता,गेहूँ,खरीदार,उपभोक्ता,बेकार,
209,हांगकांग,चीन,वेटिकन,रोम,हांगकांग : चीन :: वेटिकन : ?,1,रोम,फ्रांस,मैक्सिको,कनाडा,रोम,
210,मैराथन,दौड़,शीतनिद्रा,निद्रा,मैराथन : दौड़ :: शीतनिद्रा : ?,1,निद्रा,सर्दी,भालू,स्वप्न,निद्रा,
211,सीझना,चमड़ा,अग्निक्रीडा,आतिशबाजी,सीझना : चमड़ा :: अग्निक्रीडा : ?,1,आतिशबाजी,ऊन,मशीनरी,बम,आतिशबाजी,
212,शक्ति,वाट,आयतन,लीटर,शक्ति : वाट :: आयतन : ?,1,लीटर,डिग्री,वोल्ट,ओम,लीटर,
213,टालना,स्थगन,निगमन,अनुमान,टालना : स्थगन :: निगमन : ?,1,अनुमान,अनुमान,रक्षा,प्रकट,विरोध,
214,दस,दशमलव,दो,युग्मक (बाइनरी),दस : दशमलव :: दो : ?,1,युग्मक (बाइनरी),साप्त (सैपटेट),युग्मक (बाइनरी),श्रीफल (क्विन्स),चौरागा (क्वार्टेट),
215,राजा,सिंहासन,सवार,सीट/पीठिका,राजा : सिंहासन :: सवार : ?,1,सीट/पीठिका,सीट/पीठिका,काठी,कुर्सी,घोड़ा,
216,आशावादी,प्रफुल्ल,निराशावादी,उदास,आशावादी : प्रफुल्ल :: निराशावादी : ?,1,उदास,नगण्य (तुच्छ),स्वार्थी,उदास,निकृष्ट,
217,मछली,गिल,मानव,फेफड़ा,मछली : गिल :: मानव : ?,1,फेफड़ा,हृदय,फेफड़ा,नाक,मुह,
218,धन,दुरुपयोग (दुर्विनियोग),लेखन,साहित्यिक चोरी,धन : दुरुपयोग (दुर्विनियोग) :: लेखन : ?,1,साहित्यिक चोरी,धोखा (छल),अशुद्धि (गलती),साहित्यिक चोरी,चोरी,
219,बुलबुल,कूकना,मेंढक,टरटराना,बुलबुल : कूकना :: मेंढक : ?,1,टरटराना,चीखना,कुड़कुड़ाना,चूँ-चूँ करना,टरटराना,
220,भेड़,मटन,हिरन,वेनिजन,भेड़ : मटन :: हिरन : ?,1,वेनिजन,वील,मीट,फ्लेश,वेनिजन,
221,पैमाना,लम्बाई,सिस्मोग्राफ,भूकम्प,पैमाना : लम्बाई :: सिस्मोग्राफ : ?,1,भूकम्प,रुधिर दाब,आर्द्रता,तापमान,भूकम्प,
222,मोची,चमड़ा,दर्जी,कपड़ा,मोची : चमड़ा :: दर्जी : ?,1,कपड़ा,धागा,कपड़ा,कमीज,बजाज,
223,वीणा,तार,तबला,आघात,वीणा : तार :: तबला : ?,1,आघात,वायलिन,सितार,आघात,हारमोनियम,
224,नम्य,अनम्य,आत्मविश्वास,आत्मसंशय,नम्य : अनम्य :: आत्मविश्वास : ?,1,आत्मसंशय,आत्मसंशय,उदासीनता,कायरता,डरना,
225,पक्षीविज्ञानी,पक्षी,पुरातत्त्वज्ञ,अश्मोपकरण (आर्टिफेक्ट),पक्षीविज्ञानी : पक्षी :: पुरातत्त्वज्ञ : ?,1,अश्मोपकरण (आर्टिफेक्ट),अश्मोपकरण (आर्टिफेक्ट),द्वीपसमूह,मध्यस्थ,जलचर,
226,बटुआ,पैसे,अलमारी,कपड़े,बटुआ : पैसे :: अलमारी : ?,1,कपड़े,कपड़े,लकड़ी,इस्पात,ताला,
227,कैटरपिलर,तितली,टैडपोल,मेंढक,कैटरपिलर : तितली :: टैडपोल : ?,1,मेंढक,कौवा,हंस,मछली,मेंढक,
228,पूर्व,पश्चिम,उत्तर पूर्व,दक्षिण-पश्चिम,पूर्व : पश्चिम :: उत्तर पूर्व : ?,1,दक्षिण-पश्चिम,दक्षिण-पूर्व,दक्षिण-पश्चिम,उत्तर-पश्चिम,दक्षिण,
229,काउगर,दक्षिण अमेरिका,ओकापी,मध्य अफ्रीका,काउगर : दक्षिण अमेरिका :: ओकापी : ?,1,मध्य अफ्रीका,भारत,मध्य अफ्रीका,उत्तरी अमेरिका,पाकिस्तान,
230,बैडमिण्टन,शटल,क्रिकेट,गेंद,बैडमिण्टन : शटल :: क्रिकेट : ?,1,गेंद,पासा,गेंद,स्ट्राइकर,पिच,
231,भविष्यवाणी,भविष्य,खेद,अतीत,भविष्यवाणी : भविष्य :: खेद : ?,1,अतीत,अतीत,वर्तमान,अपराध,समय,
232,मांस,शाकाहारी,मद्य,मद्यत्यागी,मांस : शाकाहारी :: मद्य : ?,1,मद्यत्यागी,पागल,मद्यत्यागी,अन्तर्मुखी,मादक,
233,नॉटिलस,मछली,चैती पक्षी,बत्तख,नॉटिलस : मछली :: चैती पक्षी : ?,1,बत्तख,चूजा,सूँस (डॉल्फिन),बत्तख,कबूतर,
234,विरोधी,शत्रु,विपत्ति,कठिनाई,विरोधी : शत्रु :: विपत्ति : ?,1,कठिनाई,मित्र,सक्रिय,प्रेम,कठिनाई,
235,समीर,झंझावत,टपकन,प्रचण्डधारा,समीर : झंझावत :: टपकन : ?,1,प्रचण्डधारा,प्रचण्डधारा,झकोरा,प्रकोणी,ह्रास,
236,पक्षी,कीड़ा,बिल्ली,चूहा,पक्षी : कीड़ा :: बिल्ली : ?,1,चूहा,अस्तबल,पनीर,गुफा,चूहा,
237,सोमवार,चन्द्रमा,मंगलवार,मंगल,सोमवार : चन्द्रमा :: मंगलवार : ?,1,मंगल,बुध,मंगल,यम,बृहस्पति,
238,सितारे,दूरदर्शक,रुधिर कोशिकाएँ,सूक्ष्मदर्शी,सितारे : दूरदर्शक :: रुधिर कोशिकाएँ : ?,1,सूक्ष्मदर्शी,कैमरा,सूक्ष्मदर्शी,लेन्स,रुधिर,
239,यकृत,हृदय,वृक्क,फेफड़ा,यकृत : हृदय :: वृक्क : ?,1,फेफड़ा,खून,नाक,फेफड़ा,पेशाब,
240,अश्वशाला,घोड़ा,सुअरबाड़ा,सुअर,अश्वशाला : घोड़ा :: सुअरबाड़ा : ?,1,सुअर,गाय,भैंस,सुअर,मक्खी,
241,भारत छोड़ों आन्दोलन,1942,नमक आन्दोलन,1930,भारत छोड़ों आन्दोलन : 1942 :: नमक आन्दोलन : ?,1,1930,1935,1930,1920,1919,
242,गड़गड़ाहट,वर्षा,अंधेरा,रात्रि,गड़गड़ाहट : वर्षा :: अंधेरा : ?,1,रात्रि,दिन,झटपटाना,रात्रि,शाम,
243,भाग,सम्पूर्ण,चाप,वृत्त,भाग : सम्पूर्ण :: चाप : ?,1,वृत्त,त्रिभुज,वर्ग,वृत्त,समलम्ब,
244,सेब,लाल,कोयला,काला,सेब : लाल :: कोयला : ?,1,काला,काला,पीला,नीला,नारंगी,
245,पृथ्वी,ग्रह,चाँद,उपग्रह,पृथ्वी : ग्रह :: चाँद : ?,1,उपग्रह,सूरज,विश्व,शुक्र,उपग्रह,
246,कैमरा,लेन्स,फ्लैश,बल्ब,कैमरा : लेन्स :: फ्लैश : ?,1,बल्ब,बल्ब,रात,प्रकाश,शहर,
247,अप्रवास,आगमन,उत्प्रवास,देशवासी,अप्रवास : आगमन :: उत्प्रवास : ?,1,देशवासी,प्रस्थान,अन्यदेशी,देशवासी,उत्प्रवासी,
248,पकाना,ब्रेड,किण्वन,दही,पकाना : ब्रेड :: किण्वन : ?,1,दही,दही,पिघलना,थक्का,वाष्पीकरण,
249,ढाँचा,मकान,अस्थिपंजर,शरीर,ढाँचा : मकान :: अस्थिपंजर : ?,1,शरीर,पसली,खोपड़ी,शरीर,लावण्य,
250,रंग,लाल,भाषा,अंग्रेजी,रंग : लाल :: भाषा : ?,1,अंग्रेजी,पढ़ना,लिखना,बोलना,अंग्रेजी,
251,स्वर्ण,स्वर्णकार,चमड़ा,चर्मकार,स्वर्ण : स्वर्णकार :: चमड़ा : ?,1,चर्मकार,चर्मकार,रंजयिता,मोची,कसाई,
252,अन्धा,चाक्षुष,बहरा,कर्णिक,अन्धा : चाक्षुष :: बहरा : ?,1,कर्णिक,सुनवाई,श्रवण,कर्णिक,ध्वनि,
253,कोंकणी,गोवा,डोगरी,जम्मू-कश्मीर,कोंकणी : गोवा :: डोगरी : ?,1,जम्मू-कश्मीर,मध्य प्रदेश,ओडिसा,जम्मू-कश्मीर,गुजरात,
254,चूहा,बिल्ली,कीड़ा,पक्षी,चूहा : बिल्ली :: कीड़ा : ?,1,पक्षी,रेशम,पक्षी,पृथ्वी,मछली पकड़ना,
255,ग्रीष्मकाल,गर्मी,शीतकाल,ठण्डा,ग्रीष्मकाल : गर्मी :: शीतकाल : ?,1,ठण्डा,ठण्डा,बर्फ,कपास,जैकेट,
256,बूँद,महासागर,नक्षत्र,आकाश,बूँद : महासागर :: नक्षत्र : ?,1,आकाश,आकाश,चमक,टिमटिमाना,दीप्त,
257,शिल्पी,छेनी,लेखक,पेन,शिल्पी : छेनी :: लेखक : ?,1,पेन,मेज,कागज,पुस्तक,पेन,
258,कमीज,वस्त्र,गले का हार,गहना,कमीज : वस्त्र :: गले का हार : ?,1,गहना,गला,गहना,मोती,गोल,
259,वयस्क,बच्चा,पुष्प,कली,वयस्क : बच्चा :: पुष्प : ?,1,कली,बीज,कली,फल,तना,
260,बादल,बारिश,सूर्य,प्रकाश,बादल : बारिश :: सूर्य : ?,1,प्रकाश,गन्ध,प्रकाश,पहाड़,कार्य,
261,दर्जी,वस्त्र,कृषक,फसल,दर्जी : वस्त्र :: कृषक : ?,1,फसल,फसल,हल,फावड़ा,भूमि,
262,दोषी,दोषमुक्त,आकर्षित,विकर्षित करना,दोषी : दोषमुक्त :: आकर्षित : ?,1,विकर्षित करना,खींचना,विकर्षित करना,दुरुपयोग करना,न्याय करना,
263,टाइपिस्ट,टाइपराइटर,लेखक,पेन (लेखनी),टाइपिस्ट : टाइपराइटर :: लेखक : ?,1,पेन (लेखनी),लिपि,पेन (लेखनी),कागज,पुस्तक,
264,कॉ-कॉ,बत्तख,हुंकारना,साँड,कॉ-कॉ : बत्तख :: हुंकारना : ?,1,साँड,लोमड़ी,साँड,मेंढक,बिल्ली,
265,माइक्रोफोन,प्रबल (लाउड),सूक्ष्मदर्शी,आवर्द्धन करना,माइक्रोफोन : प्रबल (लाउड) :: सूक्ष्मदर्शी : ?,1,आवर्द्धन करना,लम्बा करना,अन्वेषण करना,जाँच करना,आवर्द्धन करना,
266,कूंची,पेन्ट,बेलचा,कोयला,कूंची : पेन्ट :: बेलचा : ?,1,कोयला,तेल,पानी,कोयला,ईंट,
267,पुरुष,जीवनी,राष्ट्र,इतिहास,पुरुष : जीवनी :: राष्ट्र : ?,1,इतिहास,भूगोल,इतिहास,नेता,जनता,
268,खुरदरा,चिकना,व्यवस्थित,बेढंगा,खुरदरा : चिकना :: व्यवस्थित : ?,1,बेढंगा,बेढंगा,निश्चित,सतर्क,चौकस,
269,चिकित्सक,रोगी,राजनीतिज्ञ,मतदाता,चिकित्सक : रोगी :: राजनीतिज्ञ : ?,1,मतदाता,जनता,मतदाता,पद,धन,
270,तापमापी,तापक्रम,वायुदाबमापी,दाब,तापमापी : तापक्रम :: वायुदाबमापी : ?,1,दाब,ताप,भार,आयतन,दाब,
271,दोषी,भूतकाल,आशा,भविष्यकाल,दोषी : भूतकाल :: आशा : ?,1,भविष्यकाल,भविष्यकाल,दु:ख,वर्तमानकाल,भूतकाल,
272,निर्माण करना,नष्ट करना,संघनित करना,प्रसार करना,निर्माण करना : नष्ट करना :: संघनित करना : ?,1,प्रसार करना,निर्वतन करना,प्रसार करना,क्रमिक,आरम्भिक,
273,आऐसिस (नखलिस्तान),रेगिस्तान,प्रायद्वीप,सागर,आऐसिस (नखलिस्तान) : रेगिस्तान :: प्रायद्वीप : ?,1,सागर,द्वीप,सागर,बैकवाटर (अप्रवाही),चट्टान (क्लिफ),
274,चलचित्र,दर्शकगण,गिरजाघर,भक्त मण्डली,चलचित्र : दर्शकगण :: गिरजाघर : ?,1,भक्त मण्डली,प्रार्थना,मनन चिन्तन,एकान्त,भक्त मण्डली,
275,कली,फूल,पौधा,पेड़,कली : फूल :: पौधा : ?,2,पेड़,कीचड़,पेड़,हिमनदी,पेड़,
276,सड़क,डामर,धातु,अयस्क,सड़क : डामर :: धातु : ?,2,अयस्क,चीनी,कमीज,पेन्सिल,अयस्क,
277,रेस्तरां,मेन्यू,पुस्तकालय,पुस्तक सूची,रेस्तरां : मेन्यू :: पुस्तकालय : ?,2,पुस्तक सूची,पुस्तक सूची,समाचार-पत्र,विश्वकोश,लेखा,
278,आने वाला कल,सोमवार,बीता हुआ कल,शनिवार,आने वाला कल : सोमवार :: बीता हुआ कल : ?,1,शनिवार,मंगलवार,रविवार,शनिवार,सोमवार,
279,जहाज,लंगर,कार,ब्रेक,जहाज : लंगर :: कार : ?,2,ब्रेक,पगड़ी,ब्रेक,कॉर्क,गोदाम,
280,तीर,धनुष,गोली,बंदूक,तीर : धनुष :: गोली : ?,2,बंदूक,हाथ,चाकू,बंदूक,पानी,
281,घोड़ा,अस्तबल,कार,गैरेज,घोड़ा : अस्तबल :: कार : ?,2,गैरेज,तारा,शान्ति,बछड़ा,गैरेज,
282,मच्छर,मलेरिया,तम्बाकू,कैंसर,मच्छर : मलेरिया :: तम्बाकू : ?,2,कैंसर,भोजन,दुर्घटना,कटाव,कैंसर,
283,छात्र,प्राप्तांक,वेटर,टिप,छात्र : प्राप्तांक :: वेटर : ?,2,टिप,कक्षा,निप,टिप,पुस्तक,
284,कलम,लिखना,चाकू,काटना,कलम : लिखना :: चाकू : ?,2,काटना,रबर,तरल,लकड़ी,काटना,
285,महात्मा गाँधी,राजघाट,राजीव गाँधी,वीरभूमि,महात्मा गाँधी : राजघाट :: राजीव गाँधी : ?,2,वीरभूमि,समता स्थल,वीरभूमि,किसान घाट,नारायण घाट,
286,बनाना,तोड़ना,लम्बा,छोटा,बनाना : तोड़ना :: लम्बा : ?,2,छोटा,छोटा,छोटा,बड़ा,सबसे ऊपर,
287,हवामहल,जयपुर,विक्टोरिया महल,कोलकाता,हवामहल : जयपुर :: विक्टोरिया महल : ?,2,कोलकाता,फतेहपुर सिकरी,ग्वालियर,उदयपुर,कोलकाता,
288,बुकर पुरस्कार,साहित्य,पुलित्जर पुरस्कार,पत्रकारिता,बुकर पुरस्कार : साहित्य :: पुलित्जर पुरस्कार : ?,2,पत्रकारिता,पत्रकारिता,पत्रकारिता,फिल्म,पर्यावरण,
289,अन्तर्मुखी,बहिर्मुखी,विरुद्ध,समर्थन,अन्तर्मुखी : बहिर्मुखी :: विरुद्ध : ?,2,समर्थन,स्पर्शज्या,अन्तरिम,समर्थन,कानून,
290,लेखक,किताब,बढ़ई,फर्नीचर,लेखक : किताब :: बढ़ई : ?,2,फर्नीचर,सुई,मरीज,फर्नीचर,सोना,
291,अँधेरा,प्रकाश,गरम,ठण्डा,अँधेरा : प्रकाश :: गरम : ?,2,ठण्डा,संदूषित,संचित,रोगग्रस्त (विकृत),ठण्डा,
292,पक्षी,पिंजरा,अपराधी,जेल,पक्षी : पिंजरा :: अपराधी : ?,2,जेल,जेल,लगाम,घास,पानी,
293,कैंची,कपड़ा,कुल्हाड़ी,लकड़ी,कैंची : कपड़ा :: कुल्हाड़ी : ?,2,लकड़ी,लकड़ी,चक्की,पेड़,ईंट,
294,कुर्सी,लकड़ी,दर्पण,काँच (शीशा),कुर्सी : लकड़ी :: दर्पण : ?,2,काँच,मुद्रण,काँच,भोजन,धन,
295,सुनार,स्वर्ण,बढ़ई,लकड़ी,सुनार : स्वर्ण :: बढ़ई : ?,2,लकड़ी,लकड़ी,जूता,आभूषण,शेव,
296,कबूतर,शांति,सफेद झण्डा,आत्मसमर्पण,कबूतर : शांति :: सफेद झण्डा : ?,2,आत्मसमर्पण,सिर,समर्पण,विजय,स्वतन्त्रता,
297,दस्ताना,हाथ,मोजा,पैर,दस्ताना : हाथ :: मोजा : ?,2,पैर,कॉलर,शर्ट,पैर,पॉकेट,
298,मेरा,मैं,उनका,वह,मेरा : मैं :: उनका : ?,2,वह,हमको,उसका,वह,उन्हें,
299,क्रिया,प्रतिक्रिया,जन्म,मृत्यु,क्रिया : प्रतिक्रिया :: जन्म : ?,2,मृत्यु,अनुक्रिया,आवरण,दौड़,मृत्यु,
300,चोट,दर्द,गड़गड़ाहट,तड़ित,चोट : दर्द :: गड़गड़ाहट : ?,2,तड़ित,योग्यता,तड़ित,मन्थन,श्रम,
301,फल,बीज,फूल,फल,फल : बीज :: फूल : ?,2,फल,गर्म,वस्त्र,प्यास,फल,
302,चिट्ठी,लिफाफा,दस्तावेज़,फ़ोल्डर,चिट्ठी : लिफाफा :: दस्तावेज़ : ?,2,फ़ोल्डर,डाक,शरीर,ईंट,फ़ोल्डर,
303,स्नेह,प्रेम,चिड़चिड़ापन,गुस्सा,स्नेह : प्रेम :: चिड़चिड़ापन : ?,1,गुस्सा,घृणा,गुस्सा,निराशा,आवेश,
304,स्वर्ण,सुनार,चांदी,सुनार,स्वर्ण : सुनार :: चांदी : ?,1,सुनार,लुहार,सुनार,कुम्हार,दर्जी,
305,बुध,बृहस्पति,शुक्र,शनि,बुध : बृहस्पति :: शुक्र : ?,1,शनि,शनि,ग्रह,उपग्रह,तारा,
306,किताब,कागज,कपड़े,सूत,किताब : कागज :: कपड़े : ?,1,सूत,रेशम,सूत,मलमल,नायलॉन,
307,जनवरी,फरवरी,मार्च,अप्रैल,जनवरी : फरवरी :: मार्च : ?,1,अप्रैल,दिन,मंगलवार,अप्रैल,महीना,
308,मेज,कुर्सी,कोट,पेन्ट,मेज : कुर्सी :: कोट : ?,1,पेन्ट,कमीज,पजामा,अचकन,पेन्ट,
309,जनवरी,मार्च,मई,जुलाई,जनवरी : मार्च :: मई : ?,1,जुलाई,फरवरी,अप्रैल,जून,जुलाई,
310,अप्रैल,जून,सितम्बर,नवम्बर,अप्रैल : जून :: सितम्बर : ?,1,नवम्बर,जुलाई,अगस्त,नवम्बर,वर्ष,
311,चमड़ा,फुटबाल,लोहा,कुल्हाड़ी,चमड़ा : फुटबाल :: लोहा : ?,1,कुल्हाड़ी,काला,धातु,सोना,कुल्हाड़ी,
312,जनवरी,मार्च,सोमवार,बुधवार,जनवरी : मार्च :: सोमवार : ?,1,बुधवार,शनिवार,मंगलवार,बुधवार,रविवार,
313,रेडियो,बिजली,स्कूटर,बैट्री,रेडियो : बिजली :: स्कूटर : ?,1,बैट्री,बैट्री,पानी,पैट्रोल,पहिए,
314,वजन,किलोग्राम,तरल पदार्थ,लीटर,वजन : किलोग्राम :: तरल पदार्थ : ?,1,लीटर,गैस,दूरी,लीटर,लोहा,
315,व्यायाम,स्थूलता,जल,प्यास,व्यायाम : स्थूलता :: जल : ?,1,प्यास,पेय,सरोवर,विशुद्धता,प्यास,
316,कब,क्यों,कहाँ,कौन,कब : क्यों :: कहाँ : ?,1,कौन,जब,कौन,तब,कल,
317,सूत्र,संघटक,समीकरण,चरों से,सूत्र : संघटक :: समीकरण : ?,1,चरों से,संख्याओं से,चरों से,पद से,अचर से,
318,सेंसेक्स,भारत,निक्केई,कनाडा,सेंसेक्स : भारत :: निक्केई : ?,1,कनाडा,चीन,जापान,यूएसए,कनाडा,
319,प्रकाश,किरण,आवाज,तरंग,प्रकाश : किरण :: आवाज : ?,1,तरंग,तरंग,किरण,कम्पन,पिच,
320,विधायक,विधानसभा,सरपंच,पंचायत,विधायक : विधानसभा :: सरपंच : ?,1,पंचायत,तहसील,ग्राम,क्षेत्र,पंचायत,
